Продукт,Новая цена,Старая цена,Процент скидки
"Напиток энергетический ГОРИЛЛА газированный, 0,45л",,,
"НАБОР ДЛЯ ОКРОШКИ, Лук, укроп, редис, 1шт.",,,
МЯТА перечная 30г,,,
"Маска для волос ПРЕЛЕСТЬ, Профэшнл, Кератинотерапия, 500мл",,,
"Мармел-айс БОН ПАРИ жевательный, вкус освежающей клубники, 100г",,,
"Мармелад жевательный БОН ПАРИ, Кислые червячки, 75г",,,
"Мармелад БОН ПАРИ DUO жевательный, кола/фрукты, 100г",,,
"Мармелад АЗОВСКАЯ КФ, Французский сад, 300г",,,
"Майонез СЛОБОДА, провансаль, 67%, 750г",,,
"Майонез СЛОБОДА, Оливковый, 67%, 375г",,,
"Майонез СЛОБОДА, на перепелиных яйцах, 67%, 380г",,,
Лечо ПИКАНТА 450г,,,
"Лак для волос ПРЕЛЕСТЬ ПРОФЭШНЛ, Эффект памяти Суперсильная фиксация , 300мл",,,
"КУКУРУЗА, вареная, вакуумная упаковка, 1 шт.",,,
"Кубанский рис АГРОАЛЬЯНС, «Кулон», 900г",,,
"Крекер ТУК, со сметаной и луком, 100г",,,
"Кофе ЖАРДИН, Эспрессо ди Милано, молотый, 250г",,,
"Кофе ЖАРДИН ДЕССЕРТ КАП, молотый, 250г",,,
Корм для собак ДАРЛИНГ сухой мясо/овощи 2кг,,,
"Корм для кошек ПЕРФЕКТ ФИТ, сухой, с курицей, 650г",,,
"Корм для кошек ПЕРФЕКТ ФИТ, сухой, с индейкой, 650г",,,
"Корм для кошек ПЕРФЕКТ ФИТ для стерилизованных Курица в соусе, 75г",,,
"Корм для кошек ПЕРФЕКТ ФИТ для взрослых кошек Здоровье почек, 75г",,,
"Корм для кошек ДАРЛИНГ сухой мясо/овощи 1,75кг",,,
Копчености ИНЕЙ шейка/балык сырокопченые нарезка,,,
"Конфитюр ЦУЕГГ, Экстра инжир, 330г",,,
"Конфитюр ЦУЕГГ, Груша Вильямс, 320г",,,
"Конфеты ЖИВИНКА, Арбуз, 1кг",,,
"Конфеты ДЖЕК шоколадно-вафельные со вкусом какао, 1кг",,,
"Колбаса ЧЕРКИЗОВО Сальчичон 0,3кг",,,
"Колбаса ФУЭТ ЭКСТРА, сырокопченая (ПИТ-ПРОДУКТ), 150г",,,
"Колбаса САЛЯМИНИ сырокопченая (Черкизово), 180г",,,
"Колбаса САЛЬЧИЧОН, сырокопченая, нарезка (ЧМПЗ), 100г",,,
"Колбаса ПЕППЕРОНИ сырокопченая полусухая (Дым Дымычъ), 200г",,,
Колбаса ПАПА МОЖЕТ Сервелат Зернистый в/к 350г,,,
"Колбаса ПАВА ПАВА Балычковая в/к 0,3кг",,,
"Колбаса ОТЛИЧНАЯ сырокопченая полусухая (Дым Дымычъ), 250г",,,
Колбаса КАМПОМОС Классическая вареная 400г,,,
"Колбаса ИНЕЙ ассорти Сальчичон/Тоскана сырокопченая нарезка, 100г",,,
Колбаса ИНДИЛАЙТ из филе индейки 400г,,,
"Колбаса ДЫМ ДЫМЫЧ С вялеными томатами сырокопченая полусухая, 200г",,,
"Колбаса ВАРШАВСКАЯ Традиционная полукопченая (Черкизово), 350г",,,
"Колбаса БРАУНШВЕЙГСКАЯ Премиум ГОСТ сырокопченая (Черкизово), 200г",,,
"Колбаса БОРОДИНСКАЯ, сырокопченая, мини (Черкизовский МПЗ), 300г",,,
"Козинаки ВОСТОЧНЫЙ ГОСТЬ, Ассорти, 280г",,,
КИНЗА 50г,,,
"Квас ЖЕЛТАЯ БОЧКА светлый, 1,5л",,,
"Квас ЖЕЛТАЯ БОЧКА 0,5л",,,
"Капсулы ДОППЕЛЬГЕРЦ АКТИВ ОМЕГА-3, 30 капсул",,,
"Капсул НУРОФЕН ЭКСПРЕСС, 10 капсул",,,
"ИНДИЛАЙТ Ветчина Кампана из грудки индейки нарез вар, 0,12кг",,,
Жевательный мармелад CHUPA-CHUPS страйпсы 120г,,,
"Драже MENTOS, виноград, 37,5г",,,
"ДОРАДО, полуфабрикат из замороженного сырья (СП ГМ), 1кг",,,
Донатс с шоколадной начинкой 70г,,,
"Гель АМЕЛОТЕКС, 1%, 100 г",,,
"Гарниры ЙЕЛЛИ, в ассортименте, 250г",,,
"Вода питьевая СВЯТОЙ ИСТОЧНИК, лимон, негазированная, 1,5л",,,
"Вода питьевая СВЯТОЙ ИСТОЧНИК, лимон, негазированная, 0,5л",,,
"Вода питьевая СВЯТОЙ ИСТОЧНИК, клубника, негазированная, 1,5л",,,
"Вода питьевая СВЯТОЙ ИСТОЧНИК, клубника, негазированная, 0,5л",,,
"Ветчина По-Черкизовски ЧЕРКИЗОВО, 0,4кг",,,
"Вафли ЯШКИНО, Сливочные, 300г",,,
"Вафельные рулетики ЯШКИНО, сгущенное молоко, 160г",,,
"Ватные диски ОЛА, Силк Сенс, 120шт",,,
"Бульмени ГОРЯЧАЯ ШТУЧКА, Говядина/свинина, 900г",,,
"Батончик ТВИКС шоколадный, 55г",,,
"Батончик ПИКНИК арахис-изюм-вафля-воздушный рис, 76г",,,
"Батончик PICNIC арахис/ изюм/ вафля/ воздушный рис, 38г",,,
БАЗИЛИК 30г,,,
"Ассорти, 6 СОТОК, Черри/корнишоны, 680г",,,
"Антиперспирант-спрей ДЕОНИКА, Максимальная защита, мужской, 200мл",,,
"Антиперспирант ДЕОНИКА Нежность шелка, 200мл",,,
"Антиперспирант ДЕОНИКА женский Про-защита, 50мл",,,
Скидка 20% для пенсионеров,,,
Туалетная бумага и бумажные полотенца,,,-30%
Освежители воздуха и туалетные блоки,,,-30%
Я ЛЮБЛЮ ГОТОВИТЬ Майонез Оливковый EV 67% 576г д/п(ЖК):12,149.99,209.99,-29%
"Щербет СЛАВИНО черная смородина, 80 г",49.99,59.99,-17%
ЩЕДРЫЕ Хлебцы Бородинские 100г фл/п(ОриентПродактс):24,44.99,59.99,-25%
ШОКОЛАДНИЦА Конфеты шок ваф арах/карам 160г(Коломенский):14,104.99,199.99,-48%
